trade_date,ts_code,date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2019/9/20,000016.SH,20190920,2963.4349,2964.916,2970.7227,2956.9157,2956.8294,6.6055,0.2234,30230028,47729266.7
2019/9/23,000016.SH,20190923,2930.9132,2955.2647,2955.2647,2916.4293,2963.4349,-32.5217,-1.0974,23782646,39232461.8
2019/9/24,000016.SH,20190924,2940.0806,2936.9522,2956.2923,2929.6015,2930.9132,9.1674,0.3128,22732296,40266780.2
2019/9/25,000016.SH,20190925,2928.8351,2930.1396,2942.0024,2923.151,2940.0806,-11.2455,-0.3825,22526512,35894449.6
2019/9/26,000016.SH,20190926,2927.8766,2939.6752,2952.8717,2926.5371,2928.8351,-0.9585,-0.0327,31466918,44815324.8
2019/9/27,000016.SH,20190927,2929.7246,2929.3167,2934.3253,2916.0681,2927.8766,1.848,0.0631,23014561,32422355.5
2019/9/30,000016.SH,20190930,2897.7027,2917.0746,2933.5109,2897.6837,2929.4659,-31.7632,-1.0843,19233021,30265813.2
2019/10/8,000016.SH,20191008,2922.348,2898.534,2938.8657,2898.534,2897.7027,24.6453,0.8505,24961388,39074499.5
2019/10/9,000016.SH,20191009,2922.9797,2908.1734,2931.6396,2896.2642,2922.348,0.6317,0.0216,26136018,40412670.6
2019/10/10,000016.SH,20191010,2940.8002,2917.8212,2944.0238,2910.3467,2922.9797,17.8205,0.6097,21996133,35842652.3
2019/10/11,000016.SH,20191011,2983.1198,2952.4722,2989.7538,2945.0076,2940.8002,42.3196,1.4391,31177123,48168621.4
2019/10/14,000016.SH,20191014,3013.5334,3007.3617,3040.503,2997.6629,2983.1198,30.4136,1.0195,42543315,56735172
2019/10/15,000016.SH,20191015,3015.4202,3018.8599,3019.2939,3005.8718,3013.5334,1.8868,0.0626,25446083,37222300.8
2019/10/16,000016.SH,20191016,3004.7233,3015.1656,3043.446,2999.379,3015.4202,-10.6969,-0.3547,26256367,42282388.1
2019/10/17,000016.SH,20191017,3011.7535,3009.6859,3018.6456,2997.8426,3004.7233,7.0302,0.234,18936107,31585237.3
2019/10/18,000016.SH,20191018,2963.1753,3020.0093,3027.6051,2961.1326,3011.7535,-48.5782,-1.613,24631271,37356080.2
2019/10/21,000016.SH,20191021,2968.9051,2957.9695,2973.7936,2950.3037,2963.1753,5.7298,0.1934,24223543,36733975.3
2019/10/22,000016.SH,20191022,2973.2173,2983.8371,2983.8371,2956.904,2968.9051,4.3122,0.1452,21001262,29912296.6
2019/10/23,000016.SH,20191023,2954.3052,2969.9848,2977.6799,2945.839,2973.2173,-18.9121,-0.6361,22633012,30608315
2019/10/24,000016.SH,20191024,2959.0317,2963.3389,2976.3656,2945.6802,2954.3052,4.7265,0.16,24482739,34206450.6
2019/10/25,000016.SH,20191025,2967.0517,2955.5103,2970.5422,2935.0573,2959.0317,8.02,0.271,24522583,43830273.3
2019/10/28,000016.SH,20191028,2981.3615,2967.6278,2984.9436,2962.3971,2967.0517,14.3098,0.4823,28490213,42480534.1
2019/10/29,000016.SH,20191029,2968.2831,2982.4523,2984.353,2968.2099,2981.3615,-13.0784,-0.4387,21802993,34000117.7
2019/10/30,000016.SH,20191030,2952.1181,2966.7579,2971.8979,2946.9687,2968.2831,-16.165,-0.5446,21820115,33653353.6
2019/10/31,000016.SH,20191031,2954.734,2964.905,2966.5924,2948.327,2952.1181,2.6159,0.0886,26277647,42158765.6
2019/11/1,000016.SH,20191101,3002.6488,2953.736,3005.1768,2947.6039,2954.734,47.9148,1.6216,28879939,46727802.4
2019/11/4,000016.SH,20191104,3022.2749,3012.938,3025.6393,3011.2029,3002.6488,19.6261,0.6536,30906972,47783955.2
2019/11/5,000016.SH,20191105,3039.9772,3024.8697,3065.9329,3015.7965,3022.2749,17.7023,0.5857,38359862,55760630.5
2019/11/6,000016.SH,20191106,3032.7916,3041.42,3045.4578,3024.75,3039.9772,-7.1856,-0.2364,29174816,40808898.1
2019/11/7,000016.SH,20191107,3033.2991,3034.1557,3044.724,3021.689,3032.7916,0.5075,0.0167,23317946,34760202.8
2019/11/8,000016.SH,20191108,3012.4594,3052.6911,3055.6015,3011.3658,3033.2991,-20.8397,-0.687,28297012,41316357.6
2019/11/11,000016.SH,20191111,2965.7075,2995.1423,2995.1423,2962.6837,3012.4594,-46.7519,-1.552,28511827,40134019.8
2019/11/12,000016.SH,20191112,2971.3606,2972.9982,2978.1733,2954.7765,2965.7075,5.6531,0.1906,20527695,31297828.3
2019/11/13,000016.SH,20191113,2967.6702,2967.6216,2976.2637,2955.0982,2971.3606,-3.6904,-0.1242,22621812,37211949
2019/11/14,000016.SH,20191114,2968.5686,2975.4785,2980.6978,2964.9167,2967.6702,0.8984,0.0303,22123548,35768606.3
2019/11/15,000016.SH,20191115,2954.7013,2972.4816,2976.3702,2953.756,2968.5686,-13.8673,-0.4671,22029561,32519691
2019/11/18,000016.SH,20191118,2980.9457,2954.7759,2985.9703,2949.4736,2954.7013,26.2444,0.8882,23876300,34685922
2019/11/19,000016.SH,20191119,3000.7451,2973.5742,3000.7451,2973.5742,2980.9457,19.7994,0.6642,24265871,36274061.8
2019/11/20,000016.SH,20191120,2968.1238,2991.4207,2996.5056,2962.7139,3000.7451,-32.6213,-1.0871,22511696,33591330.1
2019/11/21,000016.SH,20191121,2949.3369,2957.0698,2957.3455,2940.1536,2968.1238,-18.7869,-0.633,21914452,35263796.9
2019/11/22,000016.SH,20191122,2922.2669,2952.7739,2967.7766,2913.1797,2949.3369,-27.07,-0.9178,26802021,46004984
2019/11/25,000016.SH,20191125,2951.2474,2926.15,2951.7902,2925.4039,2922.2669,28.9805,0.9917,33302211,47559848.6
2019/11/26,000016.SH,20191126,2946.5669,2962.3686,2965.3939,2943.5496,2951.2474,-4.6805,-0.1586,30225430,43776028
2019/11/27,000016.SH,20191127,2944.3218,2948.3424,2953.3941,2933.279,2946.5669,-2.2451,-0.0762,20359377,30182554.5
2019/11/28,000016.SH,20191128,2930.4816,2945.3402,2952.2563,2922.5536,2944.3218,-13.8402,-0.4701,17773346,26320955.9
2019/11/29,000016.SH,20191129,2894.7154,2923.4516,2927.2507,2879.933,2930.4816,-35.7662,-1.2205,20790150,41700315.7
2019/12/2,000016.SH,20191202,2899.439,2896.5099,2913.7354,2893.4178,2894.7154,4.7236,0.1632,21334638,34920130.4
2019/12/3,000016.SH,20191203,2909.6232,2892.4185,2909.9524,2876.5169,2899.439,10.1842,0.3512,19088333,32162499.2
2019/12/4,000016.SH,20191204,2901.0663,2902.1339,2903.9443,2887.8402,2909.6232,-8.5569,-0.2941,19438168,29114650.4
2019/12/5,000016.SH,20191205,2921.9474,2912.9421,2927.343,2907.7664,2901.0663,20.8811,0.7198,22464511,35722565.1
2019/12/6,000016.SH,20191206,2939.8184,2928.3611,2939.8184,2922.4325,2921.9474,17.871,0.6116,21383576,33592908.7
2019/12/9,000016.SH,20191209,2933.0421,2944.163,2945.2674,2923.79,2939.8184,-6.7763,-0.2305,25034095,38061107.7
2019/12/10,000016.SH,20191210,2936.9931,2925.9476,2937.7847,2923.7531,2933.0421,3.951,0.1347,20246093,31073840.6
2019/12/11,000016.SH,20191211,2949.6467,2947.5448,2953.9408,2934.0424,2936.9931,12.6536,0.4308,23592999,33641813.4
2019/12/12,000016.SH,20191212,2938.0356,2954.4045,2954.4045,2933.9971,2949.6467,-11.6111,-0.3936,20665218,32934874
2019/12/13,000016.SH,20191213,3006.3127,2968.8629,3006.3127,2967.8521,2938.0443,68.2684,2.3236,41894582,66647265.3
